"item","categoria","parroquia","proyecto","monto","tramite","responsables","estado_original","estado_dashboard","fecha_entrega","cronograma_contractual","Avance","Coordenadas X","Coordenadas Y"
"23","PAC","PUNIN","CONSTRUCCIÓN DE BORDILLOS EN LA COMUNIDAD SAN ISIDRO DE PUNIN","62302.559999999998","Sumilla Interna mediante MEMORANDO Nro. GADMR-DGPHDU-JDOP-2026-034-MP","ING. DANIEL OROZCO
ING. GABRIELA CASTILLO
ING. JOFFRE NIAMA
ING. GERMANIA FLORES","ENTREGADO A LA DIRECCIÓN GENERAL DE GESTIÓN DE OBRAS PÚBLICAS ","Entregado para Contratación","","60 DÍAS","1","761703.43","9807002.9299999997"
"24","PAC","FLORES","MANTENIMIENTO Y REHABILITACIÓN DE LA IGLESIA PATRIMONIAL DEL SANTO CRISTO DE ...","80000","1206091","","REMITIDO A LA DIRECCIÓN GENERAL DE GESTIÓN DE PATRIMONIO","Remitido a otra dirección","","","","",""
"25","PAC","FLORES","EJECUCIÓN DE LA CONSTRUCCIÓN DEL SISTEMA DE DRENAJE DEL ESTADIO DE LA CABECER...","10000","Sumilla Interna mediante MEMORANDO Nro. GADMR-DGPHDU-JDOP-2026-003-MP","ING. ROSA GRANDA
ING. NATALY SALAZAR
ING. JOFFRE NIAMA
ING. GERMANIA FLORES","ELABORACIÓN DE DISEÑO DE DRENAJE","En desarrollo","04 DE SEPTIEMBRE DEL 2026","","0.4","761834.33100000001","9798934.1779999994"
"26","PAC","QUIMIAG","ADQUISIÓN DE MATERIALES PARA EL CERRAMIENTO DEL ESTADIO DE LA COMUNIDAD PUCUL...","25000","1184261","","ENTREGADO A LA DIRECCIÓN GENERAL DE GESTIÓN DE OBRAS PÚBLICAS","Entregado para Contratación","","","1","761930.52749999997","9814085.6096999999"
"27","PAC","SAN JUAN","REMODELACIÓN DEL MERCADO DE LA PARROQUIA SAN JUAN","91000","","ARQ. LUIS TELLO","POR ENTREGAR","En desarrollo","31 DE JULIO DEL 2026","","0.95","746798.10789999994","9819268.1632000003"
"28","Fuera del PAC","RIOBAMBA","EJECUCIÓN DE LA CONSTRUCCIÓN DE LA CASA DEL TEREQUE ETAPA I","250000","Sumilla Interna mediante MEMORANDO Nro. GADMR-DGPHDU-JDOP-2026-024-MP","ARQ. SANTIAGO RUALES
ING. JUAN JOSE DAVILA
ING. DENNIS SALAZAR
ING. SANDRA BE...","ELABORACIÓN DE INGENIERÍAS","En desarrollo","03 DE SEPTIEMBRE  DEL 2026","","0.5","763531.75","9813929.9600000009"
"29","Fuera del PAC","RIOBAMBA","EJECUCIÓN DE LA CONSTRUCCIÓN DE EL TEMPLO DEL SER  ETAPA I","NO EXISTE PRESUPUESTO","Sumilla Interna mediante MEMORANDO Nro. GADMR-DGPHDU-JDOP-2026-028-MP","ARQ. ALEJANDRO HUARACA
ARQ. CESAR RIOS
ARQ. SANTIAGO RUALES
ARQ. GABRIEL PERE...","ELABORACIÓN DEL DISEÑO ARQUITECTONICO","En desarrollo","23 DE OCTUBRE DEL 2026","","0.35","759955.39950000006","9815546.3296000008"
"30","Fuera del PAC","RIOBAMBA","CONSTRUCCIÓN DEL PARQUE LAS ACACIAS FASE II","250000","","ARQ. LUIS TELLO
ING. ERIKA CALDERON
ING. SANDRA BERRONES
ING. JOFFRE NIAMA
IN...","ESPERA QUE SE DEFINA EL CPC Y REFORME EL PAC DE LA DIRECCIÓN GENERAL DE GESTI...","En desarrollo","","","0.95","758500.04440000001","9819096.6926000006"
"31","Fuera del PAC","SAN JUAN","“CONSULTORÍA PARA LOS ESTUDIOS Y DISEÑOS DEFINITIVOS PARA LA EJECUCIÓN DE LA ...","70000","1191846","","ENTREGADO A LA DIRECCIÓN GENERAL DE GESTIÓN DE CULTURA, DEPORTES, RECREACIÓN ...","En desarrollo","","","1","744982.22","9822657.8200000003"
"32","Fuera del PAC","YARUQUIES","PRESTACIÓN DEL SERVICIO DE CONSULTORÍA PARA ELABORAR LOS ESTUDIOS Y DISEÑOS D...","37500","1211971","","ENTREGADO A LA DIRECCIÓN GENERAL DE GESTIÓN DE CULTURA, DEPORTES, RECREACIÓN ...","En desarrollo","","","1","758208.19","9812975.1400000006"
"33","Fuera del PAC","RIOBAMBA","EJECUCIÓN DE LA REMODELACIÓN DEL ESTADIO OLIMPICO DE RIOBAMBA","","","","NO HA INICIADO","En desarrollo","","","0.05","760316.31","9815576.3800000008"
"34","Fuera del PAC","RIOBAMBA","READECUACIÓN DE LAS INSTALACIONES DEL CENTRO DE INTERPRETACIÓN AMBIENTAL- RIC...","86606.74","121950","","ENTREGADO A LA DIRECCIÓN GENERAL DE GESTIÓN DE AMBIENTE","En desarrollo","","","1","758249.73699999996","9815607.0050000008"
"35","Fuera del PAC","RIOBAMBA","READECUACIÓN Y MEJORAMIENTO DE LAS INSTALACIONES DEL CENTRO DE RESCATE INTEGR...","100000","Sumilla Interna mediante MEMORANDO Nro. GADMR-DGPHDU-JDOP-2026-027-MP","ARQ. FERNANDO PONCE
ING. ROSA GRANDA
ING. ERIKA CALDERON
ING. NATALY SALAZAR
...","ELABORAIÓN DE INGENIERÍAS","En desarrollo","04 DE SEPTIEMBRE DEL 2026","","0.5","761348.38289999997","9813279.9011259992"
"36","Fuera del PAC","RIOBAMBA","MEJORAMIENTO Y MANTENIMIENTO DE VARIAS UNIDADES EDUCATIVAS","250000","","ARQ. FERNANDO PONCE","DISEÑO DE INGENIERÍAS","En desarrollo","INICIARA A PARTIR DEL FINES DE SEPTIEMBRE","","0.4","761944","9815645.9100000001"
"37","Fuera del PAC","RIOBAMBA","“ESTUDIOS Y DISEÑOS DEFINITIVOS PARA EL “PARQUE RECREATIVO ARQUEOLÓGICO LOURD...","","","ARQ DARIO MONTOYA","REVISION Y ELABORACIÓN DE PRESUPUESTOS REFERENCIALES  DE TODA LA CONSULTORIA","En desarrollo","15 DE AGOSTO DEL 2026","","0.9","759298.44","9815769.4000000004"
"38","Fuera del PAC","CACHA","ESTADIO DE AMULA SHULLIDIS DE CACHA","50000","","ING. CRISTOPHER PADILLA","","En desarrollo","","","0.6","753423.15","9812723.6199999992"
"39","PAC","RIOBAMBA","IMPLEMENTACIÓN DE ESTRUCTURAS MULTIFUNCIONALES, CIRCUITOS DE CROSSFIT, ESTACI...","135607.95000000001","1212185/Sumilla Interna mediante MEMORANDO Nro. GADMR-DGPHDU-JDOP-2026-056-MP","ARQ. GABRIEL PÉREZ
ING. NATALY SALAZAR
ING. JOFFRE NIAMA 
ING. GERMANIA FLORES","EL PROYECTO SE ENCUENTRA EN VERIFICACIÓN DE LUGARES DONDE SE INSTALARÁN LAS M...","En desarrollo","15 DE SEPTIEMBRE DEL 2026","","0.25","",""
